Energy-E_F (eV)    DOS (1/eV)    PDOS (1/eV)  of atom type Al P  
   -152.25942      0.46680      0.19105      0.28323
   -152.24942      0.51486      0.19047      0.32855
   -152.23942      0.41565      0.13922      0.27848
   -152.22942      0.29628      0.09650      0.20231
   -152.21942      0.18861      0.07021      0.12015
   -152.20942      0.12822      0.05425      0.07442
   -152.19942      0.17674      0.07561      0.10121
   -152.18942      0.21988      0.09526      0.12507
   -152.17942      0.23762      0.10120      0.13868
   -152.16942      0.29552      0.12045      0.17928
   -152.15942      0.27052      0.10616      0.16725
   -152.14942      0.18410      0.07778      0.10705
   -152.13942      0.14989      0.06591      0.08404
   -152.12942      0.18322      0.06744      0.11578
   -152.11942      0.21829      0.08192      0.13638
   -152.10942      0.26428      0.11115      0.15314
   -152.09942      0.37655      0.15254      0.22401
   -152.08942      0.49909      0.18608      0.31301
   -152.07942      0.49557      0.16648      0.32909
   -152.06942      0.39404      0.12510      0.26894
   -152.05942      0.29422      0.11042      0.18379
   -152.04942      0.21448      0.10467      0.10981
   -152.03942      0.14413      0.07491      0.06922
   -152.02942      0.08041      0.03788      0.04252
   -152.01942      0.09032      0.03569      0.05464
   -152.00942      0.17905      0.06672      0.11234
   -151.99942      0.29432      0.12653      0.16797
   -151.98942      0.42023      0.19450      0.22717
   -151.97942      0.58549      0.24015      0.34964
   -151.96942      0.67709      0.23352      0.44829
   -151.95942      0.59400      0.18778      0.40813
   -151.94942      0.39405      0.12018      0.27415
   -151.93942      0.21655      0.06027      0.15629
   -151.92942      0.10788      0.02715      0.08073
   -151.91942      0.06108      0.01576      0.04532
   -151.90942      0.11388      0.03291      0.08097
   -151.89942      0.21359      0.06561      0.14813
   -151.88942      0.20658      0.06784      0.13985
   -151.87942      0.17878      0.05855      0.12332
   -151.86942      0.29272      0.08483      0.21104
   -151.85942      0.45599      0.13478      0.32240
   -151.84942      0.47353      0.15699      0.31671
   -151.83942      0.40838      0.15442      0.25397
   -151.82942      0.31040      0.13076      0.17967
   -151.81942      0.23282      0.10628      0.12666
