Energy-E_F (eV)    DOS (1/eV)    PDOS (1/eV)  of atom type Al Sb 
     -0.39052      1.74914      0.00000      0.00000
     -0.38052      1.69365      0.00000      0.00000
     -0.37052      1.89230      0.00000      0.00000
     -0.36052      2.14377      0.00000      0.00000
     -0.35052      1.91599      0.00000      0.00000
     -0.34052      1.29269      0.00000      0.00000
     -0.33052      0.92719      0.00000      0.00000
     -0.32052      1.13770      0.00000      0.00000
     -0.31052      1.56147      0.00000      0.00000
     -0.30052      1.60257      0.00000      0.00000
     -0.29052      1.41080      0.00000      0.00000
     -0.28052      1.28445      0.00000      0.00000
     -0.27052      1.05555      0.00000      0.00000
     -0.26052      0.96781      0.00000      0.00000
     -0.25052      1.05545      0.00000      0.00000
     -0.24052      1.19631      0.00000      0.00000
     -0.23052      1.28938      0.00000      0.00000
     -0.22052      1.17056      0.00000      0.00000
     -0.21052      1.05074      0.00000      0.00000
     -0.20052      0.90079      0.00000      0.00000
     -0.19052      0.70219      0.00000      0.00000
     -0.18052      0.59436      0.00000      0.00000
     -0.17052      0.55963      0.00000      0.00000
     -0.16052      0.60175      0.00000      0.00000
     -0.15052      0.72772      0.00000      0.00000
     -0.14052      0.81734      0.00000      0.00000
     -0.13052      0.75239      0.00000      0.00000
     -0.12052      0.60036      0.00000      0.00000
     -0.11052      0.42422      0.00000      0.00000
     -0.10052      0.34027      0.00000      0.00000
     -0.09052      0.37764      0.00000      0.00000
     -0.08052      0.40133      0.00000      0.00000
     -0.07052      0.33716      0.00000      0.00000
     -0.06052      0.31242      0.00000      0.00000
     -0.05052      0.29834      0.00000      0.00000
     -0.04052      0.25933      0.00000      0.00000
     -0.03052      0.23722      0.00000      0.00000
     -0.02052      0.15860      0.00000      0.00000
     -0.01052      0.05794      0.00000      0.00000
     -0.00052      0.01025      0.00000      0.00000
      0.00948      0.00080      0.00000      0.00000
      0.01948      0.00002      0.00000      0.00000
      0.02948      0.00000      0.00000      0.00000
      0.03948      0.00010      0.00000      0.00000
      0.04948      0.00226      0.00000      0.00000
      0.05948      0.01962      0.00000      0.00000
      0.06948      0.06264      0.00000      0.00000
      0.07948      0.07382      0.00000      0.00000
      0.08948      0.03655      0.00000      0.00000
      0.09948      0.03975      0.00000      0.00000
      0.10948      0.10436      0.00000      0.00000
      0.11948      0.13835      0.00000      0.00000
      0.12948      0.08413      0.00000      0.00000
      0.13948      0.02648      0.00000      0.00000
      0.14948      0.03147      0.00000      0.00000
      0.15948      0.07235      0.00000      0.00000
      0.16948      0.07175      0.00000      0.00000
      0.17948      0.05859      0.00000      0.00000
      0.18948      0.08164      0.00000      0.00000
      0.19948      0.09182      0.00000      0.00000
      0.20948      0.16228      0.00000      0.00000
      0.21948      0.25795      0.00000      0.00000
      0.22948      0.21367      0.00000      0.00000
      0.23948      0.12508      0.00000      0.00000
      0.24948      0.15850      0.00000      0.00000
      0.25948      0.28563      0.00000      0.00000
      0.26948      0.24431      0.00000      0.00000
      0.27948      0.09264      0.00000      0.00000
      0.28948      0.05977      0.00000      0.00000
      0.29948      0.12727      0.00000      0.00000
      0.30948      0.19460      0.00000      0.00000
      0.31948      0.21365      0.00000      0.00000
      0.32948      0.15199      0.00000      0.00000
      0.33948      0.12855      0.00000      0.00000
      0.34948      0.26539      0.00000      0.00000
      0.35948      0.34011      0.00000      0.00000
      0.36948      0.24403      0.00000      0.00000
      0.37948      0.20135      0.00000      0.00000
      0.38948      0.22533      0.00000      0.00000
      0.39948      0.21728      0.00000      0.00000
      0.40948      0.20678      0.00000      0.00000
      0.41948      0.26600      0.00000      0.00000
      0.42948      0.35797      0.00000      0.00000
      0.43948      0.46375      0.00000      0.00000
      0.44948      0.47925      0.00000      0.00000
      0.45948      0.36641      0.00000      0.00000
      0.46948      0.34911      0.00000      0.00000
      0.47948      0.43543      0.00000      0.00000
      0.48948      0.46236      0.00000      0.00000
      0.49948      0.40718      0.00000      0.00000
      0.50948      0.31040      0.00000      0.00000
      0.51948      0.23513      0.00000      0.00000
      0.52948      0.31196      0.00000      0.00000
      0.53948      0.43178      0.00000      0.00000
      0.54948      0.44340      0.00000      0.00000
      0.55948      0.45540      0.00000      0.00000
      0.56948      0.46629      0.00000      0.00000
      0.57948      0.40749      0.00000      0.00000
      0.58948      0.35021      0.00000      0.00000
      0.59948      0.37843      0.00000      0.00000
      0.60948      0.59618      0.00000      0.00000
      0.61948      0.74564      0.00000      0.00000
      0.62948      0.69539      0.00000      0.00000
      0.63948      0.70090      0.00000      0.00000
      0.64948      0.75339      0.00000      0.00000
      0.65948      0.69157      0.00000      0.00000
      0.66948      0.62200      0.00000      0.00000
      0.67948      0.54624      0.00000      0.00000
      0.68948      0.46267      0.00000      0.00000
      0.69948      0.43964      0.00000      0.00000
      0.70948      0.48119      0.00000      0.00000
      0.71948      0.66945      0.00000      0.00000
      0.72948      0.92190      0.00000      0.00000
      0.73948      0.90674      0.00000      0.00000
      0.74948      0.70665      0.00000      0.00000
      0.75948      0.67183      0.00000      0.00000
      0.76948      0.71988      0.00000      0.00000
      0.77948      0.78371      0.00000      0.00000
      0.78948      0.99588      0.00000      0.00000
      0.79948      1.07914      0.00000      0.00000
      0.80948      0.88655      0.00000      0.00000
      0.81948      0.84789      0.00000      0.00000
      0.82948      1.03459      0.00000      0.00000
      0.83948      1.15155      0.00000      0.00000
      0.84948      1.02668      0.00000      0.00000
      0.85948      0.87099      0.00000      0.00000
      0.86948      0.79063      0.00000      0.00000
      0.87948      0.75772      0.00000      0.00000
      0.88948      0.88726      0.00000      0.00000
      0.89948      1.23458      0.00000      0.00000
      0.90948      1.54207      0.00000      0.00000
      0.91948      1.56713      0.00000      0.00000
      0.92948      1.51928      0.00000      0.00000
      0.93948      1.66031      0.00000      0.00000
      0.94948      1.79164      0.00000      0.00000
      0.95948      1.87892      0.00000      0.00000
      0.96948      1.76855      0.00000      0.00000
      0.97948      1.50978      0.00000      0.00000
      0.98948      1.71271      0.00000      0.00000
      0.99948      2.13689      0.00000      0.00000
      1.00948      2.10536      0.00000      0.00000
      1.01948      1.93175      0.00000      0.00000
      1.02948      1.99059      0.00000      0.00000
      1.03948      2.33904      0.00000      0.00000
      1.04948      2.58984      0.00000      0.00000
      1.05948      2.73099      0.00000      0.00000
      1.06948      2.89179      0.00000      0.00000
      1.07948      2.96838      0.00000      0.00000
      1.08948      3.12847      0.00000      0.00000
      1.09948      3.62119      0.00000      0.00000
      1.10948      3.82334      0.00000      0.00000
      1.11948      3.50594      0.00000      0.00000
      1.12948      3.48301      0.00000      0.00000
      1.13948      3.74499      0.00000      0.00000
      1.14948      3.88347      0.00000      0.00000
      1.15948      4.02454      0.00000      0.00000
      1.16948      4.12284      0.00000      0.00000
      1.17948      3.84407      0.00000      0.00000
      1.18948      3.65891      0.00000      0.00000
      1.19948      3.86846      0.00000      0.00000
      1.20948      4.35389      0.00000      0.00000
      1.21948      4.62546      0.00000      0.00000
      1.22948      4.31216      0.00000      0.00000
      1.23948      3.81085      0.00000      0.00000
      1.24948      3.52355      0.00000      0.00000
      1.25948      3.66248      0.00000      0.00000
