Energy-E_F (eV)    DOS (1/eV)    PDOS (1/eV)  of atom type Zn O  
   -151.27644      0.83780      0.44552      0.39228
   -151.26644      0.62699      0.33026      0.29674
   -151.25644      0.42309      0.22795      0.19514
   -151.24644      0.42252      0.22271      0.19981
   -151.23644      0.64032      0.31999      0.32033
   -151.22644      0.93363      0.46522      0.46841
   -151.21644      1.05783      0.52670      0.53113
   -151.20644      0.90750      0.44452      0.46298
   -151.19644      0.68203      0.33408      0.34795
   -151.18644      0.45152      0.22654      0.22498
   -151.17644      0.41637      0.21073      0.20564
   -151.16644      0.52425      0.25794      0.26632
   -151.15644      0.61701      0.29295      0.32406
   -151.14644      0.71896      0.33558      0.38338
   -151.13644      0.71541      0.33583      0.37958
   -151.12644      0.49408      0.23366      0.26042
   -151.11644      0.38584      0.18062      0.20521
   -151.10644      0.58937      0.27719      0.31218
   -151.09644      0.80260      0.38388      0.41872
   -151.08644      0.86904      0.42386      0.44518
   -151.07644      0.90117      0.44222      0.45894
   -151.06644      0.93619      0.45476      0.48143
   -151.05644      0.84068      0.40614      0.43453
   -151.04644      0.60770      0.29125      0.31646
   -151.03644      0.57865      0.26703      0.31162
   -151.02644      0.80480      0.36864      0.43616
   -151.01644      0.88475      0.41821      0.46654
   -151.00644      0.83237      0.41739      0.41498
   -150.99644      0.77975      0.40045      0.37930
   -150.98644      0.58844      0.29670      0.29174
   -150.97644      0.46610      0.23206      0.23404
   -150.96644      0.55168      0.27469      0.27698
   -150.95644      0.79442      0.38353      0.41089
   -150.94644      0.82085      0.38467      0.43618
   -150.93644      0.72984      0.33785      0.39199
   -150.92644      0.78661      0.36863      0.41798
   -150.91644      0.86545      0.40862      0.45683
   -150.90644      1.00801      0.46767      0.54035
   -150.89644      1.07981      0.49395      0.58586
   -150.88644      0.92245      0.42326      0.49919
   -150.87644      0.77635      0.36677      0.40958
   -150.86644      0.78165      0.37636      0.40529
   -150.85644      0.82144      0.40127      0.42017
   -150.84644      0.89467      0.44095      0.45373
   -150.83644      0.92963      0.45200      0.47764
   -150.82644      1.08858      0.52074      0.56783
   -150.81644      1.34134      0.62945      0.71189
   -150.80644      1.29310      0.59536      0.69775
   -150.79644      1.19575      0.54740      0.64835
   -150.78644      1.25174      0.56984      0.68190
   -150.77644      1.23034      0.56689      0.66345
   -150.76644      1.15725      0.54730      0.60995
   -150.75644      1.04523      0.50064      0.54459
   -150.74644      0.96726      0.46288      0.50438
   -150.73644      0.98921      0.46372      0.52549
   -150.72644      1.16408      0.54860      0.61548
   -150.71644      1.36836      0.64994      0.71842
   -150.70644      1.38685      0.64039      0.74646
   -150.69644      1.18570      0.52862      0.65708
   -150.68644      0.99957      0.44313      0.55644
   -150.67644      0.96715      0.43720      0.52995
   -150.66644      0.94780      0.43487      0.51293
   -150.65644      0.92780      0.41752      0.51029
   -150.64644      0.88258      0.39503      0.48755
   -150.63644      0.72760      0.32365      0.40394
   -150.62644      0.69765      0.29961      0.39804
   -150.61644      0.79951      0.34551      0.45400
   -150.60644      0.92766      0.42434      0.50332
   -150.59644      1.06370      0.49767      0.56603
   -150.58644      1.03852      0.46850      0.57002
   -150.57644      0.89188      0.38206      0.50983
