Energy-E_F (eV)    DOS (1/eV)    PDOS (1/eV)  of atom type Al As 
     -0.93000      1.35284      0.44681      0.90603
     -0.92000      1.33069      0.43941      0.89128
     -0.91000      1.42568      0.46114      0.96454
     -0.90000      1.56090      0.48685      1.07404
     -0.89000      1.86265      0.56584      1.29681
     -0.88000      2.05297      0.61210      1.44087
     -0.87000      1.87681      0.54870      1.32811
     -0.86000      1.55001      0.45690      1.09310
     -0.85000      1.49160      0.45237      1.03923
     -0.84000      1.58247      0.48869      1.09378
     -0.83000      1.41330      0.43620      0.97710
     -0.82000      1.20551      0.36450      0.84101
     -0.81000      1.32987      0.39807      0.93180
     -0.80000      1.45740      0.43738      1.02002
     -0.79000      1.39294      0.41834      0.97459
     -0.78000      1.36490      0.40556      0.95934
     -0.77000      1.32098      0.38366      0.93731
     -0.76000      1.40934      0.40405      1.00529
     -0.75000      1.49946      0.42552      1.07394
     -0.74000      1.36527      0.38270      0.98257
     -0.73000      1.26081      0.36276      0.89805
     -0.72000      1.40420      0.41753      0.98667
     -0.71000      1.47430      0.44490      1.02940
     -0.70000      1.32949      0.40612      0.92337
     -0.69000      1.14705      0.34382      0.80323
     -0.68000      1.09651      0.32080      0.77571
     -0.67000      1.19864      0.35491      0.84373
     -0.66000      1.28808      0.37936      0.90872
     -0.65000      1.47599      0.41993      1.05606
     -0.64000      1.58664      0.45319      1.13345
     -0.63000      1.29418      0.37511      0.91907
     -0.62000      0.94599      0.26670      0.67929
     -0.61000      0.97052      0.25922      0.71130
     -0.60000      1.28794      0.34553      0.94241
     -0.59000      1.38095      0.38404      0.99692
     -0.58000      1.17660      0.33380      0.84280
     -0.57000      1.06409      0.29564      0.76845
     -0.56000      1.04689      0.28582      0.76107
     -0.55000      1.08614      0.30756      0.77858
     -0.54000      1.18429      0.34119      0.84309
     -0.53000      1.23821      0.34469      0.89352
     -0.52000      1.25376      0.33829      0.91547
     -0.51000      1.13072      0.30348      0.82723
     -0.50000      1.08312      0.29109      0.79203
     -0.49000      1.05695      0.28490      0.77205
     -0.48000      0.98165      0.26630      0.71535
     -0.47000      0.91981      0.25246      0.66735
     -0.46000      0.80999      0.22695      0.58304
     -0.45000      0.87560      0.24860      0.62700
     -0.44000      1.10695      0.31163      0.79532
     -0.43000      1.34088      0.36420      0.97668
     -0.42000      1.45896      0.38563      1.07333
     -0.41000      1.27241      0.33527      0.93714
     -0.40000      1.02049      0.26797      0.75252
     -0.39000      0.94109      0.24549      0.69560
     -0.38000      0.90406      0.23675      0.66731
     -0.37000      0.83468      0.22068      0.61400
     -0.36000      0.77237      0.20403      0.56834
     -0.35000      0.67389      0.17911      0.49478
     -0.34000      0.60121      0.16240      0.43881
     -0.33000      0.56569      0.15066      0.41502
     -0.32000      0.52037      0.13491      0.38547
     -0.31000      0.55230      0.13783      0.41447
     -0.30000      0.62749      0.15296      0.47453
     -0.29000      0.69625      0.17226      0.52399
     -0.28000      0.81165      0.21124      0.60040
     -0.27000      0.80853      0.21846      0.59007
     -0.26000      0.71960      0.19240      0.52720
     -0.25000      0.66369      0.17292      0.49077
     -0.24000      0.50593      0.12929      0.37664
     -0.23000      0.32349      0.07855      0.24494
     -0.22000      0.28340      0.06788      0.21552
     -0.21000      0.39480      0.09893      0.29587
     -0.20000      0.45454      0.11602      0.33852
     -0.19000      0.45772      0.11376      0.34396
     -0.18000      0.48702      0.11801      0.36901
     -0.17000      0.43516      0.10571      0.32945
